,Coeffs
0,64.80250961005062
1,75.23624459880281
2,65.8363137729002
3,63.406504652286486
4,-31.379211479827365
5,37.36943057578299
6,-27.097601763481382
7,37.89820639627157
8,-129.94210192592055
9,134.4252637829242
10,-180.04057822169952
11,-10.55443406938175
12,-41.05833224919699
13,34.70539453021222
14,-42.61177305818233
15,35.390531956770154
16,-145.27225136607683
17,131.24195752574505
18,-183.62226030429306
19,-6.6735531920736415
20,-32.37020699469072
21,36.279621983782405
22,-36.855811811185916
23,35.3168616422284
24,-155.06463989927113
25,149.34024350297994
26,-189.53529987629156
27,-0.6592036977288573
28,-17.04954778031178
29,28.25781279450525
30,-15.819080821198884
31,28.391697453213485
32,-160.3378074090291
33,158.0176076027974
34,-197.0783746221699
35,1.0659854972351221
36,-16.333068579294697
37,35.90161078903421
38,-19.979602687219543
39,35.874519848435035
40,-171.40317177694072
41,160.67607350625417
42,-205.17845038409308
43,14.744808070993445
44,-10.270220692133899
45,37.314112654255595
46,-13.081095285170774
47,36.63672491363183
48,-201.25048813382918
49,173.9514042459243
50,-212.60502232305856
51,20.613548670071893
52,-0.43738602961360395
53,42.17485704969947
54,-0.01773239496215394
55,41.20931632499768
56,-211.4604315198949
57,187.97266316015518
58,-217.1378868862829
59,28.44858596206443
60,15.730952613710453
61,33.476644102484585
62,20.337214781505622
63,33.50723459606383
64,-220.02547965371016
65,200.28096081196523
66,-229.0780491372698
67,41.19189680247244
68,26.603854518285157
69,27.280578777425674
70,29.89787269095502
71,26.103513344937863
72,-228.01004645582012
73,216.97684800888922
74,-235.80264538472787
75,55.60905230143828
76,47.71671679111519
77,18.494946835499654
78,50.382395580334574
79,17.963035957280084
80,-247.7359165820672
81,237.99866507135576
82,-254.8094821853694
83,78.73987882962554
84,62.070376586214536
85,-0.2008255663899567
86,62.07320440901351
87,-0.9409627269995534
88,-271.06433870557413
89,267.95267376010764
90,-274.63606122520673
91,103.09767405038954
92,105.3995851887277
93,-21.69928811290918
94,107.69383028178486
95,-22.164832715397303
96,-292.8616283289899
97,306.17150606998223
98,-297.5551714875485
99,131.94941043478056
100,150.51647728462592
101,-66.77783409970938
102,147.60050314823047
103,-66.8226275080295
104,-325.0522194399982
105,355.53147681841324
106,-330.10132719872564
107,180.73879489177102
108,-26.43162329865799
109,36.24246471801304
110,-18.066706814533187
111,36.75689014129463
112,-143.0320574064197
113,122.13803430110504
114,-179.13670991897988
115,-11.814838154424985
116,-29.696784024666595
117,39.60915940207828
118,-27.805188807401976
119,39.38975296961646
120,-145.4523002523893
121,126.74750251491821
122,-186.07509185797102
123,-9.778555206388406
124,-35.06348164704698
125,37.89488747903279
126,-39.19970864994288
127,38.67751128131401
128,-147.6543801147113
129,142.6367836754113
130,-188.7776610696853
131,-1.922152522209387
132,-35.44699884370011
133,27.163625360414123
134,-44.33455175179302
135,27.61099914977218
136,-160.24455435748052
137,152.57875419384135
138,-198.43492786443264
139,3.9924755474245264
140,-29.67358194699503
141,31.722023973281427
142,-39.856743152033395
143,31.98436870399077
144,-185.55912971817844
145,162.00918879172733
146,-207.55085565907737
147,13.717651640680137
148,-7.507604234784582
149,30.68282886333032
150,-0.35239963355158865
151,31.022446066987243
152,-182.2666213194198
153,174.92039204116915
154,-210.53126831150206
155,16.129790837911905
156,0.37922858864650827
157,32.622109082623425
158,1.6855960717976741
159,33.09572152215878
160,-193.80957113000892
161,191.14599672559785
162,-217.43839633258563
163,29.036047322321465
164,8.710946966138113
165,35.41326859151466
166,9.55505091958092
167,34.42060328269664
168,-220.64934342720375
169,211.49162956846558
170,-229.62604786195197
171,38.388141738782565
172,29.019144128045937
173,27.447954208117594
174,31.1936417389115
175,28.44076247539507
176,-228.62442648157918
177,213.3775314456808
178,-237.8979959924296
179,56.339322287349944
180,35.915567103632846
181,21.975260884872743
182,36.31624149637363
183,21.436663600276212
184,-250.9018887667243
185,240.02064778553532
186,-253.11893588753634
187,74.38023476879857
188,60.77491934785452
189,-2.419515826389956
190,60.56171374058705
191,-4.041700835138039
192,-261.0153502755879
193,272.9090170735882
194,-270.8131193838391
195,100.59076972325462
196,104.01035768269179
197,-26.730703484187032
198,102.10624014693487
199,-28.747960385898278
200,-283.2272759059213
201,305.54562246976843
202,-296.56565624326703
203,136.68235101011192
204,143.79681617667268
205,-73.05656330489565
206,137.81432741042806
207,-72.03434726878555
208,-321.00051454589993
209,359.1108722777715
210,-333.15869194132034
211,180.07505255800908
212,-40.635664579500734
213,36.80492109798609
214,-32.36978393456324
215,36.910507269803794
216,-133.52316247433453
217,125.98930017189483
218,-180.69317061743226
219,-11.663307248946186
220,-37.32490493290945
221,32.72391074684673
222,-36.15426298996832
223,34.19262290065966
224,-142.9778297662186
225,138.91187386186022
226,-189.9404014670333
227,-4.751128701808231
228,-40.192667849754336
229,34.570347724165266
230,-43.336510232834684
231,35.5203172869367
232,-147.95398579656452
233,144.58816606160497
234,-189.38085751965602
235,1.3507544897933794
236,-34.43902586129248
237,39.92422253051656
238,-44.35073120618643
239,40.971205183275664
240,-159.34400402909097
241,153.0696848267407
242,-195.96473121189692
243,5.925979515871045
244,-10.384094608135788
245,39.38919195133086
246,-10.085996260590047
247,38.92024743371818
248,-176.29354836686355
249,167.21295042166022
250,-206.92523577161992
251,10.754325978854661
252,-11.18064178965049
253,29.683192946657766
254,-12.0533391764319
255,30.578696762363915
256,-189.35043146507988
257,173.1785145536607
258,-214.29985544593416
259,18.223912205398207
260,1.663043931550382
261,40.610674233923014
262,4.371815817312598
263,41.02731955010708
264,-200.53216101970835
265,181.63995417810492
266,-219.56791776618272
267,25.909124822959704
268,7.523890467009212
269,33.22222964091259
270,10.778128911496363
271,33.77690437745664
272,-214.16602613926625
273,200.4311837661419
274,-229.47467867733556
275,37.63909581803858
276,25.68442652868112
277,26.767646358907967
278,27.629488718417477
279,26.77235296424412
280,-229.85893128023807
281,219.67587489949221
282,-242.67941943943677
283,58.57146450648686
284,37.38602478669223
285,15.862821905791364
286,37.87765503397613
287,15.603089564064957
288,-242.23129291403527
289,242.04139852661754
290,-256.5354213710392
291,74.74686877246076
292,61.638266119491924
293,4.10149761814515
294,60.45467927626461
295,3.243615578627994
296,-267.48441858517634
297,271.7479405252699
298,-274.82261447625626
299,99.82980423615008
300,102.65370857662411
301,-16.444012692656308
302,101.9038347366433
303,-16.616197158033877
304,-302.3504836468128
305,308.9762091054413
306,-300.20550522339556
307,134.4249345777305
308,153.20005378072128
309,-58.52439709822322
310,151.112310607445
311,-58.45053320314172
312,-313.1217972388162
313,358.40505806148127
314,-326.3004513069053
315,177.3101115694103
316,-30.427021166840593
317,32.46838639918556
318,-26.314761257007575
319,34.01183174145435
320,-140.67416733697928
321,129.52737675665637
322,-184.66566712398048
323,-11.88717796472619
324,-40.776269916235506
325,36.03475987821143
326,-37.84508518730185
327,36.63840959371768
328,-150.24162341944432
329,138.0980757329419
330,-186.53481586563075
331,-6.516964495471766
332,-29.97512536846462
333,35.538786496909616
334,-41.149949984668865
335,35.70076739002196
336,-160.6485777022073
337,149.6197096028813
338,-191.60661059112843
339,-0.13089183586316364
340,-27.195328195716236
341,37.87976147534324
342,-30.99072564519546
343,37.90254505414336
344,-175.08277518971028
345,154.83204344505734
346,-201.97601762548723
347,3.8636350368823
348,-17.251096915038186
349,32.096193364592374
350,-15.07113187802033
351,33.1516050315426
352,-181.19349883446236
353,161.78058444858314
354,-211.06555514564465
355,7.586653798739852
356,-2.1318237381793987
357,37.82274317656572
358,0.7740397733775605
359,37.07417449456564
360,-196.74442160650895
361,171.65011698954913
362,-211.0029265542509
363,20.570875704237633
364,3.642981917907684
365,38.351234885093916
366,7.144034668147828
367,39.76300084885176
368,-193.67920136075054
369,188.3115273374086
370,-214.87885315531716
371,27.926276056866616
372,19.31338045768357
373,33.42963007250391
374,23.767896157234908
375,32.8106383081497
376,-211.99450265250113
377,203.19022209148088
378,-229.3947399021405
379,43.53779856657265
380,27.110081526295303
381,24.006546509191377
382,29.21634674913665
383,24.14789873681115
384,-225.68403579584316
385,226.60944434885877
386,-242.18035211703858
387,59.241564853530164
388,48.768410053477595
389,17.104797516007128
390,48.85559421867697
391,15.506596877565572
392,-242.37666333923224
393,245.22385897454615
394,-253.70436174406214
395,77.81626179504052
396,68.70788446724237
397,4.820851549829267
398,68.76227237951295
399,3.9826913159252175
400,-262.78742488592934
401,271.93007595808336
402,-274.00065977674586
403,105.84029184113271
404,101.95666302102516
405,-15.56071981381326
406,101.01127049882957
407,-14.843182996298031
408,-284.2977582966882
409,311.20411036684914
410,-289.7963991873641
411,135.9216750692627
412,148.50242897410254
413,-69.51050360889195
414,148.79157933638848
415,-69.96675695735601
416,-328.5825131294529
417,354.7670329056139
418,-334.0963767357923
419,179.0464915048543
420,-7.035848660791748
421,-3.4417728494469486
422,1.1054511647718217
423,8.130737609919796
424,8.134183894246368
425,8.100125427664496
426,8.129708279768343
427,8.12540336406613
428,8.14160617797672
429,8.138326530422221
430,8.138240152680565
431,8.137536696571786
432,8.146417560898122
433,-7.042030496247313
434,-3.9202620792683347
435,-0.4868871391825458
436,5.095367721023093
437,7.770632992420421
438,8.14185432242064
439,8.137641994154466
440,8.133087340197433
441,8.139670329017626
442,8.150817424086833
443,8.137727460388476
444,8.13646178361353
445,8.133556509615467
446,-11.934530112090075
447,-4.631969486080508
448,-2.3345684636697404
449,5.394524922510534
450,8.12222322348217
451,8.135875162392912
452,8.13290814324952
453,8.132271761640155
454,8.130329495137127
455,8.14177372273437
456,8.13970174730165
457,8.136367074707547
458,8.14259425580637
459,-6.453902106125664
460,-5.585300250826521
461,6.977799506718013
462,3.061303540649751
463,8.141194133256608
464,8.133994427335354
465,8.134712953112796
466,8.141921401498259
467,8.139966866689814
468,8.140529484564311
469,8.142766418408844
470,8.142629624628055
471,8.140943468252846
